Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,"$125,000
/yr (Employer est.)
The minimum salary range is
$100K
The maximum salary range is
$150K","Company Description
Huski.ai is a technology-driven software company providing cost-effective solutions to assist IP lawyers and their staff with trademark clearance, watching, and enforcement. Our solutions are designed to automate and optimize various processes involved in trademark management, with a focus on increased efficiency and accuracy. We are a remote-friendly company that values collaboration, innovation, and excellence.
Role Description
This is a full-time remote role for a Data Scientist. The Data Scientist will be responsible for collecting, analyzing, and interpreting complex data sets to identify trends, patterns, and insights in trademark management. The Data Scientist will also be expected to communicate findings and recommendations to both technical and non-technical stakeholders.
Qualifications
Show more
Average base salary estimate
$125,000
/yr (Employer est.)
The minimum salary range is
$100K
The maximum salary range is
$150K
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.",-1.0,Huski,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,"$104,235
/yr (Glassdoor est.)
The minimum salary range is
$91K
The maximum salary range is
$120K","Data Scientist
Job Description:
We are seeking a highly skilled and passionate Data Scientist to join our dynamic team. The ideal candidate will have a strong background in data science and analytics with a keen interest in healthcare technology. You will be responsible for analyzing complex data sets to derive actionable insights, predict healthcare trends, and contribute to the development of data-driven healthcare solutions.
Responsibilities:
Analyze large, complex data sets to extract meaningful insights and inform company strategies.
Maintain and improve analytic models and algorithms to predict patient outcomes, optimize healthcare processes, and identify high-performing healthcare providers.
Show more
Average base salary estimate
$104,235
/yr (Glassdoor est.)
The minimum salary range is
$91K
The maximum salary range is
$120K
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
Health Care Services & Hospitals
Sector
Healthcare
Revenue
Unknown / Non-Applicable
Embold Health ratings
3.6
49 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings
Career Opportunities
3.5
Comp & Benefits
4.6
Culture & Values
3.7
Senior Management
3.6
Work/Life Balance
4.8
Embold Health reviews by data scientist
Pros
""Unlimited PTO, tend to promote from within, and compensation is decent."" (in 3 reviews)
""Highly skilled and intelligent leadership"" (in 2 reviews)
""remote work, great management, communication"" (in 3 reviews)
""pay is decent, unlimited PTO, great engineering talent to work with"" (in 1 review)
Cons
""engineering leadership is repeating poor decisions through bad communication and unethical working practices, no understanding of role expectations by the company, no real leadership in vision in engineering"" (in 2 reviews)
""Still working to solidify some formal processes; however, this is mostly expected when working on a small and relatively new team."" (in 1 review)
Embold Health benefits
4.5
3 Ratings
Employee benefit reviews
Feb 9, 2023
Former Redacted in Nashville, TN, Tennessee
Good health insurance. For family coverage the contribution is high.
Jan 4, 2023
Former Employee in Nashville, TN, Tennessee
Good PTO offering (unlimited), but health insurance plan was the most expensive premium I’ve ever had. Add on a high deductible offering, and you’re looking at pricey healthcare. No 401K match.
Feb 26, 2021
Current Employee in Nashville, TN, Tennessee
Benefits are advanced for a company this size including ADP and",3.6,Embold,"Nashville, TN",1 to 50 Employees,--,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Scientist - I,-1,"Vibrint is a trusted provider of mission-critical systems and analysis that transform our customers' capacity and capability in harvesting and harnessing data. Working alongside many of the most talented professionals in public service, we work tirelessly to create and sustain new solutions and services that meet the stringent demands across a variety of customer missions.
Our people know they'll be doing work that matters at the heart of the national security mission, exploring new possibilities at the cutting edge of technology. They know they will be well-rewarded and recognized for their commitment. And, they know they will enjoy plentiful opportunities to grow, thrive, and have fun as a member of the Vibrint family. Join Vibrint, where your career is a priority, and your future is our shared goal.

We are seeking a Data Scientist - I.
A data scientist will develop machine learning, data mining, statistical and graph-based algorithms to analyze and make sense of datasets; prototype or consider several algorithms and decide upon final model based on suitable performance metrics; build models or develop experiments to generate data when training or example datasets are unavailable; generate reports and visualizations that summarize datasets and provide data-driven insights to customers; partner with subject matter experts to translate manual data analysis into automated analytics; implement prototype algorithms within production frameworks for integration into analyst workflows.








Show more
Company overview
Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable
Vibrint ratings
5.0
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings
Career Opportunities
5.0
Comp & Benefits
5.0
Culture & Values
5.0
Senior Management
5.0
Work/Life Balance
4.0",5.0,Vibrint,United States,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,"$95,000
/yr (Employer est.)
The minimum salary range is
$90K
The maximum salary range is
$100K","Job Title: Data Scientist
Location: O’Fallon, MO
Reports To: Data Scientist
FLSA Status: Exempt
Principal Purpose of Position:
The Senior SQL Developer handle pressure, but be able to take a joke, team oriented/collaborative but have the knowledge. Communication is a big key. Does not want someone that is combative but can take constructive criticism (Coachable)
Duties and Responsibilities:
Python

Show more
Average base salary estimate
$95,000
/yr (Employer est.)
The minimum salary range is
$90K
The maximum salary range is
$100K
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",-1.0,Milestone Marketing Solutions,"O Fallon, MO",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
Data Scientist,"$96,568
/yr (Glassdoor est.)
The minimum salary range is
$83K
The maximum salary range is
$113K","Who we are:
Globalstar pioneered personal safety by introducing its SPOT Satellite GPS Messenger in 2007. Today, leveraging its low-earth orbit (LEO) satellite constellation, Globalstar reliably connects and protects assets, transmits key operational data, and saves lives – from any location – for consumers, industrial companies and government agencies in over 120 countries. With a portfolio that includes SPOT GPS messengers, next-generation IoT products and modems, and cloud-based telematics solutions, Globalstar’s cost effective satellite-powered innovations give users visibility and intelligence for improving safety and operational efficiencies.
What we offer:
Work/Life Balance: Paid Time Off, Paid Holidays


Show more
Average base salary estimate
$96,568
/yr (Glassdoor est.)
The minimum salary range is
$83K
The maximum salary range is
$113K
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
201 to 500 Employees
Founded
2003
Type
Company - Public
Industry
Cable, Internet & Telephone Providers
Sector
Telecommunications
Revenue
$25 to $100 million (USD)
Globalstar Inc. ratings
3.6
70 %
Recommend to a friend
74 %
Approve of CEO
James (Jay) Monroe III
42 Ratings
Career Opportunities
3.2
Comp & Benefits
3.6
Culture & Values
3.4
Senior Management
3.1
Work/Life Balance
3.7
Globalstar Inc. reviews by data scientist
Pros
""Awesome people, no egos."" (in 5 reviews)
""The leadership at director level is good"" (in 5 reviews)
""Stable job, good salary, WAH benefits"" (in 3 reviews)
Cons
""The leadership above director level is very bad."" (in 5 reviews)
""Management is Cheap"" (in 4 reviews)
""Not enough communication"" (in 6 reviews)
Globalstar Inc. benefits
3.7
3 Ratings
Employee benefit reviews
Most commented
Health Insurance(3 comments)
""blue cross has a good program ""
401K Plan(3 comments)
""Easy to have deducted from paycheck""
Aug 30, 2023
Current Sales Manager in Covington, LA, Louisiana
Medical, Dental, Vision and 401k with some additional options
Jan 31, 2024
Former Employee in New Orleans, LA, Louisiana
Great Benefits, time off, dental
Mar 8, 2022
Current Employee in Covington, LA, Louisiana
Changed from BCBS to UHC",3.6,Globalstar Inc,"Covington, LA",201 to 500 Employees,2003,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$25 to $100 million (USD)
Data Scientist,"$103,875
/yr (Glassdoor est.)
The minimum salary range is
$91K
The maximum salary range is
$118K","National Grid Renewables, which includes the renewables development company formerly known as Geronimo Energy, is a leading North American renewable energy company based in Minneapolis, Minnesota, with satellite offices located in the regions where it develops, constructs, and operates renewable energy projects. As a farmer-friendly and community focused company, National Grid Renewables develops projects for corporations and utilities that seek to repower America’s electricity grid by reigniting local economies and reinvesting in a sustainable future. National Grid Renewables is part of the competitive, unregulated Ventures division of National Grid and has a portfolio of solar, wind, and energy storage projects located throughout the United States in various stages of development, construction and operation.

National Grid Renewables develops high value, competitive renewable energy projects. Our focus on communities and farmers means it’s not just about projects, but about the people we work with, both outside and inside our organization. National Grid Renewables Team Members embody our foundational culture of being entrepreneurial, creative, and nimble and take pride in supporting National Grid’s vision to be at the heart of a clean, fair, and affordable energy future for all.

About the Position
National Grid Renewables is hiring a Data Scientist to improve our suite of machine learning products. The ideal Data Scientist will be an individual who enjoys understanding and improving large coding problems. They will be skilled in machine learning, math, statistics, and computer science, and have a passion for clean energy. This opportunity may be remote, with a preference of hybrid work out of the Bloomington, MN corporate office location.

Role Responsibilities:

What you bring to this role:
Show more
Average base salary estimate
$103,875
/yr (Glassdoor est.)
The minimum salary range is
$91K
The maximum salary range is
$118K
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
Unknown
Founded
--
Type
Company - Private
Industry
Energy & Utilities
Sector
Energy, Mining & Utilities
Revenue
Unknown / Non-Applicable
National Grid Renewables ratings
4.2
76 %
Recommend to a friend
50 %
Approve of CEO
Blake Nixon
2 Ratings
Career Opportunities
4.0
Comp & Benefits
3.7
Culture & Values
4.1
Senior Management
3.6
Work/Life Balance
3.7
National Grid Renewables reviews by data scientist
Pros
""Great communication to employees, team building, and values"" (in 2 reviews)
""Benefits are great."" (in 1 review)
""Inclusion and diversity is a priority and the leadership continues to learn and be active in this goal."" (in 1 review)
Cons
""Big bonuses every year but highly taxed."" (in 1 review)",4.2,National Grid Renewables,"Bloomington, MN",Unknown,--,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable
Data Scientist,"$103,875
/yr (Glassdoor est.)
The minimum salary range is
$91K
The maximum salary range is
$118K","National Grid Renewables, which includes the renewables development company formerly known as Geronimo Energy, is a leading North American renewable energy company based in Minneapolis, Minnesota, with satellite offices located in the regions where it develops, constructs, and operates renewable energy projects. As a farmer-friendly and community focused company, National Grid Renewables develops projects for corporations and utilities that seek to repower America’s electricity grid by reigniting local economies and reinvesting in a sustainable future. National Grid Renewables is part of the competitive, unregulated Ventures division of National Grid and has a portfolio of solar, wind, and energy storage projects located throughout the United States in various stages of development, construction and operation.

National Grid Renewables develops high value, competitive renewable energy projects. Our focus on communities and farmers means it’s not just about projects, but about the people we work with, both outside and inside our organization. National Grid Renewables Team Members embody our foundational culture of being entrepreneurial, creative, and nimble and take pride in supporting National Grid’s vision to be at the heart of a clean, fair, and affordable energy future for all.

About the Position
National Grid Renewables is hiring a Data Scientist to improve our suite of machine learning products. The ideal Data Scientist will be an individual who enjoys understanding and improving large coding problems. They will be skilled in machine learning, math, statistics, and computer science, and have a passion for clean energy. This opportunity may be remote, with a preference of hybrid work out of the Bloomington, MN corporate office location.

Role Responsibilities:

What you bring to this role:
Show more
Average base salary estimate
$103,875
/yr (Glassdoor est.)
The minimum salary range is
$91K
The maximum salary range is
$118K
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
Unknown
Founded
--
Type
Company - Private
Industry
Energy & Utilities
Sector
Energy, Mining & Utilities
Revenue
Unknown / Non-Applicable
National Grid Renewables ratings
4.2
76 %
Recommend to a friend
50 %
Approve of CEO
Blake Nixon
2 Ratings
Career Opportunities
4.0
Comp & Benefits
3.7
Culture & Values
4.1
Senior Management
3.6
Work/Life Balance
3.7
National Grid Renewables reviews by data scientist
Pros
""Great communication to employees, team building, and values"" (in 2 reviews)
""Benefits are great."" (in 1 review)
""Inclusion and diversity is a priority and the leadership continues to learn and be active in this goal."" (in 1 review)
Cons
""Big bonuses every year but highly taxed."" (in 1 review)",4.2,National Grid Renewables,"Bloomington, MN",Unknown,--,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable
Data Analyst,"$110,000
/yr (Employer est.)
The minimum salary range is
$90K
The maximum salary range is
$130K","Data Analyst
Simatree is actively looking for an experienced Data Analyst to collect, process, and organize data to provide analysis and findings in support of our government client. You will develop immersive stories that answer tough business questions and drive business value for business stakeholders.
This position will support data governance for Simatree’s government client. The work location is virtual, but you may be required to travel on occasion. The ideal candidate is a Master's Degree graduate looking to start work in late spring.
Principle Responsibilities:
Support the programmatic development of operational applications of the tools or analysis that are focused on operations research and document findings.
Show more
Average base salary estimate
$110,000
/yr (Employer est.)
The minimum salary range is
$90K
The maximum salary range is
$130K
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
1 to 50 Employees
Founded
2018
Type
Company - Private
Industry
Business Consulting
Sector
Management & Consulting
Revenue
$1 to $5 million (USD)
Simatree ratings
5.0
100 %
Recommend to a friend
100 %
Approve of CEO
Patrick McCreesh
4 Ratings
Career Opportunities
5.0
Comp & Benefits
4.8
Culture & Values
5.0
Senior Management
5.0
Work/Life Balance
5.0
Simatree reviews by data analyst
Pros
""Leadership is very engaged and it shows in the culture."" (in 2 reviews)
""Finally, this is an inclusive company where everyone"" (in 2 reviews)
""Additionally, management is extremely supportive of employees pursuing their passions and charting their own paths within the company."" (in 1 review)
Cons
""Leadership tries very hard to make it as smooth an experience as possible for their employees."" (in 2 reviews)",5.0,Simatree,"Washington, DC",1 to 50 Employees,2018,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD)
Data Scientist,"$60.00
/hr (Employer est.)
The minimum salary range is
$50.00
The maximum salary range is
$70.00","Set Solutions is on the hunt for a Data Scientist for a client in the telecom space. This role is fully remote and is a 6 month contract to hire-they would like to convert at the end of the contract.
For this role, would really like a well rounded Data Scientist that has some exposure to Machine Learning.
Responsibilities:
Apply advanced machine learning techniques to analyze large datasets and extract actionable insights.
Develop predictive models to forecast trends and patterns for business optimization.
Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions.
Conduct exploratory data analysis to identify key factors influencing business metrics.
Utilize statistical methods to validate model performance and ensure accuracy.
Show more
Average base salary estimate
$60.00
/hr (Employer est.)
The minimum salary range is
$50.00
The maximum salary range is
$70.00
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
$5 to $25 million (USD)
SET Solutions ratings
4.6
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings
Career Opportunities
4.3
Comp & Benefits
4.7
Culture & Values
4.6
Senior Management
4.6
Work/Life Balance
4.6
SET Solutions reviews by data scientist
Pros
""I've never been able to say I love my job before and truly mean it, how lucky!"" (in 3 reviews)
""Very flexible, nice coworkers, solution"" (in 2 reviews)
""Work Life Balance is excellent"" (in 1 review)
Cons
""Not many downsides, normal small company challenges, but the leadership works hard to improve and move in the right direction."" (in 4 reviews)
""Awful benefits."" (in 1 review)
SET Solutions benefits
3.3
3 Ratings
Employee benefit reviews
May 6, 2021
Current Senior Security Consultant in Houston, TX, Texas
Fine company. Market conditions make business fluctuate
Jul 21, 2023
Current Director of Admissions in Houston, TX, Texas
Great company with great people
Sep 9, 2020
Former Software Engineering Manager in Houston, TX, Texas
401k, medical, dental, vision , paid vacation and holidays",4.6,SET Solutions,Remote,51 to 200 Employees,--,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $25 million (USD)
Data Scientist,"$72.95
/hr (Employer est.)
The minimum salary range is
$49.75
The maximum salary range is
$96.15","Data Scientist
AccessHope Remote

At AccessHope, we’re Fighting cancer with everything we know™ by putting the ever-growing body of cancer knowledge to work for the greater good. Through a revolutionary employer health benefit offering, we remotely connect employees with cancer support services from National Cancer Institute (NCI)–Designated Comprehensive Cancer Centers. Instead of requiring those who have been diagnosed with cancer to come to the centers for renowned cancer expertise, AccessHope brings their support to the patient and their local oncologist—wherever they’re located—to improve care, outcomes, and value.

Hopeful for those we support, rebellious in our approach, and collaborative by breaking down barriers, AccessHope is seeking a Data Scientist to help us uniquely deploy the latest cancer knowledge to the places it’s needed most. As an ideal candidate, you’ll be responsible for collecting, analyzing, and interpreting large volumes of data to help organizations make informed decisions. You will work closely with cross-functional teams to identify business opportunities, develop data-driven solutions, and contribute to the overall data strategy of the organization.

Show more
Average base salary estimate
$72.95
/hr (Employer est.)
The minimum salary range is
$49.75
The maximum salary range is
$96.15
If an employer includes a salary or salary range on their job, we display it as an ""Employer Estimate"". If a job has no salary data, Glassdoor displays a ""Glassdoor Estimate"" if available. To learn more about ""Glassdoor Estimates,"" see our FAQ page.
Company overview
Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable
AccessHope ratings
2.8
47 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings
Career Opportunities
2.9
Comp & Benefits
2.9
Culture & Values
2.8
Senior Management
2.4
Work/Life Balance
2.7",2.8,AccessHope,Remote,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
