Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,min_salary,max_salary,avg_salary,job_simp,seniority,job_state,age,bachelor,masters,PhD,python_yn,sql_yn,java_yn,spark_yn,power bi_yn,sas_yn,aws_yn,excel_yn,tableau_yn,study_field
Data Scientist,"$150,000
/yr (Employer est.)
The minimum salary range is
$150K
The maximum salary range is
$150K","We are recruiting for a Data Scientist for a fast growing financial services company in Irvine. In this role, you will partner with the marketing team and provide data-driven insights through ad-hoc analyses, presentations, automated reports and dashboards, experiment design, and advanced statistical research and development. This role demands extensive experience with SQL, data wrangling, statistics, and A/B testing, along with the ability to collaborate in cross-functional teams to derive practical insights. We're looking for someone who excels in a fast-paced environment and is technically adept to support our internal teams. If you seek a dynamic and growing company, this is the place for you.
Roles & Responsibilities:
Work on specialized 'advanced analytics' projects that include but not be limited to:
Marketing Mix Modeling
Sophisticated forecasting and the development of internal forecasting tools
Adapt to evolving business dynamics and swiftly adjust task priorities to ensure efficient workflow alignment with changing operational requirements.
Be a leader with a point of view for the organization and the team, using data to constantly challenge and reshape our understanding of business performance and trend.
Build models to understand the lifetime value better and behavior of our customer base.
Find the ""story"" in the data and communicate insights and opportunities with executive and other internal teams.
Perform ongoing ad-hoc analyses to evaluate the efficiency of our marketing spend, building reporting infrastructure, and assisting in making budgeting recommendations to optimize growth.
Support reporting and business intelligence needs of the Marketing team.
Qualifications:
5+ years of experience with SQL, SSIS, SSRS.
5+ years of professional experience with forecasting and prediction modeling using data visualization tools.
2+ years of reporting and dashboard creation in Salesforce.
2+ years of defining DAX measures and modeling in Power BI.
Experience with Python/VBA is a plus.
Advanced Excel skills, including Power Query.
Strong problem-solving skills with the ability to understand business issues and implement robust solutions.
Excellent organization, prioritization, and deadline-focused skill sets.
Bachelor’s degree or equivalent.
2+ years of mortgage experience preferred.
Job Type: Full-time
Pay: Up to $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Professional development assistance
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Application Question(s):
Are you able to come on-site to the office in Irvine, CA 2 times per week?
How many years of experience do you have with SQL, SSIS, SSRS
Will you need to relocate? How long do you anticipate the relocation timeline to be?
How many years of experience do you have with Power BI
Have you built dashboards before in Salesforce?
Ability to Relocate:
Irvine, CA: Relocate before starting work (Required)
Work Location: In person",-1.0,Cava Connect,"Irvine, CA",Unknown,-1,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,0,150.0,150.0,150.0,Data Scientist,Other,CA,-1,1,0,0,1,1,0,0,1,0,0,1,0,Statistics
Data Scientist 2465,"$129,788
/yr (Glassdoor est.)
The minimum salary range is
$106K
The maximum salary range is
$159K","Job Description:

Quevera is seeking a Data Scientist to join an exciting, collaborative and innovative team. A place where you are positioned for More than Just a Job. Where leadership partners with you, seek to cultivate and support career development, encouraging growth from within while striving to foster a diverse and inclusive environment that improves individual and organizational performance.
Highlights of working for Quevera are:
Quevera employees voted Quevera as a TOP EMPLOYER in the Baltimore /DC area for 2020 (ranked #8 out of 150 companies) and 2022 (ranked #5 out of 150 companies).
Yearly $5,000 towards education/training.
Employees are in control of their career path through our Career Pathway Program.
Family and corporate events
Excellent health care coverage (100% paid premium option) and 401K matching (up to 4%).
And many more!
Q-Culture Video
Q-Careers
Duties and Responsibilities:
Day to day responsibilities include:
The Contractor shall perform end-to-end quality assurance of data feeds and data sets.
The Contractor shall provide support for data triage and assessment at the Sponsor’s site.
The Contractor shall identify and document areas for improvement in workflows or systems.
The Contractor shall attend regular stand-up meetings.
The Contractor shall provide input to code reviews.
The Contractor shall cross-train on existing collection tools.
The Contractor shall support building, monitoring, alerting, and reporting out (e.g. dashboards).
The Contractor shall support new use cases.
The Contractor shall research and document options for collecting or aggregating data from a variety of web based and internal Sponsor platforms.
The Contractor shall evaluate web based platforms’ ability to detect or deny access.
The Contractor shall make recommendations on approaches to acquire information.
The Contractor shall use appropriate tools and computer programming languages, such as Python scripts, to collect and process data from a variety of sources.
The Contractor shall use Sponsor-network APIs to programmatically access data.
The Contractor shall create, maintain, and enhance systems in support of data exploitation.
The Contractor shall create or improve custom collection scripts written in Python.
The Contractor shall create or improve scripts leveraging APIs for collection needs.
The Contractor shall automate data clean-up and conditioning of collected data.
The Contractor shall automate data management and dissemination steps.
Required Experience:
Demonstrated experience programming in Python.
Demonstrated experience performing statistical analysis, testing, and modeling using Python or R.
Demonstrated experience analyzing questions, formulating requirements, determining suitable analytic approaches, evaluating results, and communicating findings to partners and stakeholders.
Demonstrated experience working with data in a variety of structured and unstructured formats.
Demonstrated experience with a variety of database tools, such as SQL and Presto, and data lakes/S3 data.
Demonstrated experience with data visualization tools, such as notebook-based visualization libraries, especially Elasticsearch, Kibana, and Tableau.
Demonstrated ability to translate complex, technical findings into an easily understood narrative in graphical, verbal, or written form.
Demonstrated experience with AI/ML, such as natural language processing in a production environment.

Desired Experience:
Demonstrated experience programming in common compiled or interpreted languages, such as Python and R.
Demonstrated experience with data management tools, such as Hadoop, MapReduce, or similar.
Demonstrated experience with technical operations.
Demonstrated experience with technical targeting.
Demonstrated experience conducting data science using the Apache Zeppelin and Jupyter notebooks platforms and Spark/Pyspark.
Demonstrated experience collaborating with colleagues to develop customer-tailored products.

Quevera is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age or any other characteristic protected by law.",4.4,Quevera LLC,"Fairfax, VA",51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,106.0,159.0,132.5,Data Scientist,Other,VA,11,0,0,0,1,1,0,1,0,0,0,1,1,Not specified
Machine Learning Engineer,"$162,176
/yr (Glassdoor est.)
The minimum salary range is
$135K
The maximum salary range is
$195K","About Attain
Built for consumers and companies, alike
In a world driven by data, we believe consumers and businesses can coexist. Our founders had a vision to empower consumers to leverage their greatest asset—their data—in exchange for modern financial services. Built with this vision in mind, our platform allows consumers to access savings tools, earned wages and rewards without cost or hidden fees. In exchange, they give permission to use their real-time data for research, insights and targeted advertising.
At Attain, your contribution will help us build a more equitable and efficient data sharing ecosystem—whether helping consumers access modern financial services or businesses leverage data to achieve better outcomes. You'll have the opportunity to work directly with hands-on leaders and mission-driven individuals everyday.
About the role
We are leveraging machine learning (ML) and data science-based products to take our business to the next level. To meet the growing needs of our business, we are searching for an experienced Machine Learning Engineer to enhance the development of a machine learning platform that enables data scientists and engineers across the company to easily build and deploy machine learning solutions at scale through a unified platform approach. This person will lead and experience first-hand how we transform machine learning models and algorithms into AI products for our consumers, customers and partners.
What a typical week might look like
Contribute to the development of our machine learning platform, driving for outstanding execution
Lead by example and define best practices for robust and efficient machine learning service development that includes data pipeline development and automation, model versioning, deployment, monitoring, feature store and continuous model training, etc.
Design and manage CI/CD pipeline for our machine learning product deployment
Collaborate with a cross functional team of data scientists, engineers, product managers, business stakeholders to cost-effectively deliver AI services with quality, efficiency, and security
Contribute to the machine learning engineering roadmap and priorities
Preferred Qualifications
Strong expertise in developing and deploying offline and online machine learning services in production
Solid understanding of machine learning software and infrastructure development
Proficiency in Python
Experience with cloud computing services or platform (GCP preferred)
Strong SQL skills
Familiarity with version control and peer code review systems
Demonstrated ability to learn and embrace new technologies, applications, and approaches
Willingness to roll up your sleeves and sometimes wear multiple hats across the data science team, depending on the needs of the business
Strong written and verbal communication skills and the ability to explain technical topics to both technical and non-technical audiences
We're excited to hear from you.
At Attain, we are passionate about finding people to continuously help us grow our organization. We encourage you to apply, even if your experience doesn't match every detail of the job description. If we don't see something that immediately fits, we will keep your resume on file for future opportunities.",3.8,Attain,"Redwood City, CA",501 to 1000 Employees,2009,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,135.0,195.0,165.0,Mle,Other,CA,15,0,0,0,1,1,0,0,0,0,0,0,0,Engineering
Data Scientist,"$131,430
/yr (Glassdoor est.)
The minimum salary range is
$104K
The maximum salary range is
$166K","Akira Technologies is seeking a highly skilled Data Scientist Expert to join our team for a critical project supporting the United States Army. As a key member of our team, you will leverage your expertise in data analysis, machine learning, and statistical modeling to derive actionable insights and drive data-driven decision-making for Army initiatives. This position offers a unique opportunity to contribute to national defense while working with cutting-edge technologies in a dynamic and collaborative environment.
This role is mostly remote with occasional onsite presence in the DC Metro Area.
Job Responsibilities:
Data Analysis and Exploration: Conduct exploratory data analysis to understand and visualize complex datasets, identifying patterns, trends, and anomalies that inform decision-making and drive insights.
Statistical Modeling: Develop and apply statistical and machine learning models to analyze data, extract insights, and generate predictions and recommendations that support Army objectives and priorities.
Predictive Analytics: Build predictive models and forecasting algorithms to anticipate future events, trends, and outcomes, enabling proactive decision-making and resource allocation.
Data Visualization: Design and create interactive visualizations and dashboards to communicate analytical findings and insights to stakeholders, enabling data-driven decision-making at all levels of the organization.
Feature Engineering: Engineer and select relevant features and variables from raw data to enhance model performance and predictive accuracy, leveraging domain knowledge and expertise.
Model Evaluation and Validation: Evaluate model performance and validity using appropriate metrics and techniques, conducting rigorous testing and validation to ensure reliability and generalizability.
Collaboration and Communication: Collaborate with cross-functional teams, including data engineers, software developers, and subject matter experts, to define data science use cases, gather requirements, and deploy solutions that meet business needs.
Qualifications:
Bachelor's degree in Computer Science, Statistics, Mathematics, or a related field; Master's degree or PhD preferred.
Minimum of 10 years of experience in data science, with a strong proficiency in data analysis, statistical modeling, and machine learning techniques.
Expertise in programming languages such as Python or R, and experience with data manipulation and analysis libraries (e.g., pandas, NumPy, scikit-learn).
Demonstrated experience in applying statistical and machine learning algorithms to real-world datasets, with a strong understanding of model evaluation and validation techniques.
Proficiency in data visualization tools such as Tableau, Power BI, or matplotlib/seaborn, and the ability to create compelling visualizations that effectively communicate analytical findings.
Strong analytical and problem-solving skills, with the ability to analyze complex datasets, identify patterns and trends, and extract actionable insights.
Excellent communication and interpersonal skills, with the ability to effectively collaborate with team members and stakeholders at all levels of the organization.
Active Secret clearance or higher.

About Akira Technologies
Akira strives to meet and exceed the mission and objectives of US federal agencies. As a leading small business cloud modernization and data analytics services provider, we deliver trusted and highly differentiated solutions and technologies that serve the needs of our customers and citizens. Akira serves as a valued partner to essential government agencies across the intelligence, cyber, defense, civilian, and health markets. Every day, our employees deliver transformational outcomes, solving the most daunting challenges facing our customers.
Akira is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.",4.3,Akira Technologies Inc.,"Washington, DC",51 to 200 Employees,2003,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,104.0,166.0,135.0,Data Scientist,Other,DC,21,1,1,1,1,0,0,0,1,0,0,1,1,Computer Science
Statistician/Data Scientist,"$66.00
/hr (Employer est.)
The minimum salary range is
$66.00
The maximum salary range is
$66.00","Job Title: Senior Scientist, Statistician/Data Scientist
Position: 6 Months
Location: 2001 Marathon Avenue, Neenah WI 54956
Payrate: $66/hr
Job Description:
Position Title Senior Scientist, Statistician/Data Scientist
Advanced degree required plus a minimum: 5+ years of work experience utilizing Advanced Statistics methods and project management.
Summary of Position The Lead Statistician guides project teams by designing testing plans that efficiently and effectively address project needs and analyzing/interpreting study results. Provide consulting and education to product development partners and other testing teams on statistical methods.
Essential Functions
Ability to understand and incorporate advanced statistical principles related to hypothesis testing, advanced statistical models, experimental design, and sampling techniques into projects
Contribute experimental design, statistical analysis and data management plan to the Study Protocol
Complete statistical analysis and collaborate with customers to develop/communicate interpretive report
Apply unique statistical or graphical analysis techniques to increase the richness of business insights
Consult on and influence study design and conduct analysis for other internal testing teams (e.g., GCA and GMRA studies)
Education Advanced degree (Masters, Ph.D.) in Statistics or Data Science, related major / discipline
Experience • Minimum: 5+ years of work experience utilizing Advanced Statistics methods and project management
Preferred: Specific experience designing and analyzing consumer testing with track record of significant technical contributions
Successful engagement in team-oriented environment to successfully deliver business results
Skills • Advanced understanding of statistical analysis methods and experimental design and ability to transform statistical results into actionable knowledge
Proficiency with SAS for data management and advanced statistical modeling.
Ability to synthesize information across recent and historical studies
Ability to explain complex information in a simple to understand way – written and verbal – for technical and business audience
Job Type: Contract
Salary: $66.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Ability to Relocate:
Neenah, WI 54956: Relocate before starting work (Required)
Work Location: In person",-1.0,ESTEEM SOLUTIONS,"Neenah, WI",-1,-1,-1,-1,-1,-1,1,66.0,66.0,66.0,Data Scientist,Other,WI,-1,0,0,0,0,0,0,0,0,1,0,0,0,Statistics
Data Scientist,"$117,545
/yr (Glassdoor est.)
The minimum salary range is
$98K
The maximum salary range is
$141K","We are looking for a talented principal data scientist with Python programming skills who is excited manipulating large amounts of structured and unstructured complex data sets into useful information to solve critical intelligence community (IC) problems. You’ll write scripts to integrate data, conduct exploratory data analysis to discover hidden patterns, apply machine learning to train predictive models, and use the right combination of tools to turn that set of disparate data points into objective answers to help mission partners make informed decisions. You’ll provide the customer with a deep understanding of their data, what it all means, and how they can best use it.

Key Responsibilities:
Automate, review, and labeling of overhead imagery.
Help develop and employ machine learning algorithms, including object detection.
Programming in Python.
Use algorithms from academia such as CNN MIL, DETR and data sets such as Resner-50 to improve automated target detection.
Report finding to client and IC community.


Basic Qualifications:
Bachelor of Science degree in Software Engineering, Computer Science or related field
5 Years of Experience in a related field
Current TS/SCI
Proficiency in Python programming
Proficiency in computer vision and image processing
Familiarity with object detection with weak labels and multiple instance learning.
Excellent communication skills are a must.

Preferred Qualifications:
Experience in AI/ML processing for target detection
Experience in software development, including Agile process model",5.0,"Government Consulting Solutions, LLC","Arlington, VA",1 to 50 Employees,-1,Company - Public,--,--,Unknown / Non-Applicable,0,98.0,141.0,119.5,Data Scientist,Other,VA,-1,1,0,0,1,0,0,0,0,0,0,1,0,Computer Science
Data Scientist,"$105,397
/yr (Glassdoor est.)
The minimum salary range is
$88K
The maximum salary range is
$126K","We are looking for a talented principal data scientist with Python programming skills who is excited manipulating large amounts of structured and unstructured complex data sets into useful information to solve critical intelligence community (IC) problems. You’ll write scripts to integrate data, conduct exploratory data analysis to discover hidden patterns, apply machine learning to train predictive models, and use the right combination of tools to turn that set of disparate data points into objective answers to help mission partners make informed decisions. You’ll provide the customer with a deep understanding of their data, what it all means, and how they can best use it.

Responsibilities:
Automate, review, and labeling of overhead imagery.
Help develop and employ machine learning algorithms, including object detection.
Programming in Python.
Use algorithms from academia such as CNN MIL, DETR and data sets such as Resner-50 to improve automated target detection.
Report finding to client and IC community.
Required Skills:

Bachelor of Science degree in Software Engineering, Computer Science or related field
3+ Years of Experience in Data Scientist
Must have a active current TS/SCI with the ability to get a Polygraph.
Proficiency in Python programming
Experience in AI/ML processing for target detection
Experience in software development, including Agile process model",5.0,"Government Consulting Solutions, LLC","Chantilly, VA",1 to 50 Employees,-1,Company - Public,--,--,Unknown / Non-Applicable,0,88.0,126.0,107.0,Data Scientist,Other,VA,-1,1,0,0,1,0,0,0,0,0,0,0,0,Computer Science
Data Scientist - Product Analytics,"$143,432
/yr (Glassdoor est.)
The minimum salary range is
$120K
The maximum salary range is
$172K","About Us:
Observe is a SaaS Observability product that enables businesses to investigate modern distributed applications 10x faster. Observe ingests anything with a timestamp (e.g. system and application logs, metrics, and traces), and then structures that data so that it is correlated and easy to navigate. We enable engineers to spend more time coding features and less time investigating incidents. Finally, because of Observe’s unique elastic architecture, it is priced based on usage, making it cost 10x less than incumbents.

Job Description:
We seek a talented Data Scientist to join our Product team at Observe Inc. In this role, you'll collaborate with diverse teams to leverage data in solving crucial product and business challenges, shaping our company's strategy. You'll lead by using data to spot opportunities, drive product development, and ensure value delivery. Guiding teams through data-driven insights, you'll focus on hypothesis development and various analytical methodologies. Effective communication is vital as you craft compelling data stories, influence decisions, and become a trusted strategic partner. As a Data Scientist, you'll play a pivotal role in optimizing product development by harnessing data-driven insights, closely analyzing user behavior, and guiding strategic decision-making.

Responsibilities:
Analyze our unit economics, pricing, and gross margin.
Generate actionable insights and recommendations on where to compete and where to invest.
Work with our platform team to ensure the reliability and completeness of our usage accounting.
Mature our overall product analytics strategy, partnering with our Product and Sales teams to understand customer feature usage and adoption.
Communicate findings to stakeholders through clear and compelling data visualizations and presentations.
To support the above activities, build and maintain any necessary data pipelines, or otherwise ensure we have access to reliable data products.

Requirements:
Bachelor's degree in Computer Science, Statistics, Mathematics, or a related field; advanced degree preferred.
Strong SQL skills, strong practical experience in analyzing complex data sets and preparing reports
Passionate about product analytics (product engagement metrics), familiar with consumption-based pricing
Strong communication skills (e.g. writing and presentations)
Bay area and willing to work in-office 3 days a week

Why Join Us:
Opportunity to work at the forefront of observability technology and shape the future of digital infrastructure.
A collaborative and dynamic work environment with talented and passionate professionals.
Competitive salary, equity options, and comprehensive benefits package.
Career growth and development opportunities in a rapidly expanding startup environment.",5.0,"Observe, Inc.","San Mateo, CA",1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),0,120.0,172.0,146.0,Data Scientist,Other,CA,7,1,0,0,0,1,0,0,0,0,0,0,0,Computer Science
GEN AI Data Scientist,"$73.00
/hr (Employer est.)
The minimum salary range is
$70.00
The maximum salary range is
$76.00","Title – GEN AI LLM Data Scientist
Client: Birlasoft
Location: Raritan, NJ
Job Description
· Must have 12+ years of experience working in Data science, Machine learning and especially NLP technologies.
· Exposure to various LLM technologies and solid understanding of Transformer Encoder Networks.
· Able to apply deep learning and generative modeling techniques to develop LLM solutions in the field of Artificial Intelligence.
· Utilize your extensive knowledge and expertise in machine learning (ML) with a focus on generative models, including but not limited to generative adversarial networks (GANs), variational autoencoders (VAEs), and transformer-based architectures.
· Solid understanding of Model development, model serving, training/re-training techniques in a data sparse environment.
· Very good understanding of Prompt engineering techniques in developing Instruction based LLMs.
· Must be able to design, and implement state-of-the-art generative models for natural language processing (NLP) tasks such as text generation, text completion, language translation, and document summarization.
· Work with SAs and collaborate with cross-functional teams to identify business requirements and deliver solutions that meet the customer needs.
· Passionate to learn and stay updated with the latest advancements in generative AI and LLM.
· Nice to have -contributions to the research community through publications, presentations, and participation in relevant conferences or workshops.
· Evaluate and preprocess large-scale datasets, ensuring data quality and integrity, and develop data pipelines for training and evaluation of generative models.
· Ability to articulate to business stakeholders on the hallucination effects and various model behavioral analysis techniques followed.
· Exposure to developing Guardrails for LLMs both with open source and cloud native models.
· Collaborate with software engineers to deploy and optimize generative models in production environments, considering factors such as scalability, efficiency, and real-time performance.
· Nice to have- provide guidance to junior data scientists, sharing expertise and knowledge in generative AI and LLM, and contribute to the overall growth and success of the data science team.
Job Types: Full-time, Contract
Salary: $70.00 - $76.00 per hour
Experience:
Python: 5 years (Required)
SQL: 7 years (Required)
Ability to Commute:
Raritan, NJ 08869 (Required)
Ability to Relocate:
Raritan, NJ 08869: Relocate before starting work (Required)
Work Location: In person",-1.0,Business Integra Inc,"Raritan, NJ",-1,-1,-1,-1,-1,-1,1,70.0,76.0,73.0,Data Scientist,Other,NJ,-1,0,0,0,1,1,0,0,0,1,0,0,0,Engineering
Data Scientist,"$71.00
/hr (Employer est.)
The minimum salary range is
$70.00
The maximum salary range is
$72.00","Position: Data Scientist
Location: Mountain View, CA (Onsite role)
Locals will be Preferred----
Proven experience as a Data Scientist or related role, with a strong track record of solving complex data problems using Python.
Proficiency in Python programming language and popular libraries/frameworks such as NumPy, Pandas, Scikit-learn, TensorFlow, or PyTorch.
Solid understanding of statistical analysis, machine learning algorithms, and data mining techniques.
Experience with data visualization tools (e.g., Matplotlib, Seaborn, Plotly) and database systems (e.g., SQL, NoSQL).
Strong analytical and problem-solving skills with the ability to translate business requirements into technical solutions
Legacy Server platform migration to a new platform
Understanding the needs of customers and performing the migration for the customer
Working on ways to automate and improve internal system processes
Developing, testing, executing, examining scripts and analyzing results
Identifying technical problems and developing updates and fixes
Job Type: Contract
Pay: $70.00 - $72.00 per hour
Ability to Commute:
Mountain View, CA (Required)
Work Location: In person",5.0,Laiba Technologies,"Mountain View, CA",1 to 50 Employees,-1,Company - Private,--,--,Unknown / Non-Applicable,1,70.0,72.0,71.0,Data Scientist,Other,CA,-1,0,0,0,1,1,0,0,0,0,0,0,0,Not specified
